1938,Physics,Enrico Fermi,9/29/1901,Rome
2014,Chemistry,Eric Betzig,1/13/1960,"Ann Arbor, MI"
2001,Physics,Eric Cornell,12/19/1961,"Palo Alto, CA"
1995,Physiology or Medicine,Eric F. Wieschaus,6/8/1947,"South Bend, IN"
2000,Physiology or Medicine,Eric Kandel,11/7/1929,Vienna
2007,Economic Sciences,Eric S. Maskin,12/12/1950,"New York, NY"
1931,Literature,Erik Axel Karlfeldt,1864-07-20,Karlbo
1954,Literature,Ernest Hemingway,1899-07-21,"Oak Park, IL"
1939,Physics,Ernest Lawrence,8/8/1901,"Canton, SD"
1908,Chemistry,Ernest Rutherford,1871-08-30,Nelson
1951,Physics,Ernest T.S. Walton,10/6/1903,Dungarvan
1907,Peace,Ernesto Teodoro Moneta,1833-09-20,Milan
1945,Physiology or Medicine,Ernst B. Chain,6/19/1906,Berlin
1973,Chemistry,Ernst Otto Fischer,11/10/1918,Munich
1986,Physics,Ernst Ruska,12/25/1906,Heidelberg
1991,Physiology or Medicine,Erwin Neher,3/20/1944,Landsberg
1933,Physics,Erwin Schrödinger,1887-08-12,Vienna
2019,Economic Sciences,Esther Duflo,10/25/1972,Paris
2013,Economic Sciences,Eugene F. Fama,2/14/1939,"Boston, MA"
1936,Literature,Eugene O'Neill,1888-10-16,"New York, NY"
1963,Physics,Eugene Wigner,11/17/1902,Budapest
1975,Literature,Eugenio Montale,1896-10-12,Genoa
2012,Peace,European Union (EU),,
1974,Literature,Eyvind Johnson,7/29/1900,Svartbjörnsbyn
2016,Physics,F. Duncan M. Haldane,9/14/1951,London
1995,Chemistry,F. Sherwood Rowland,6/28/1927,"Delaware, OH"
1993,Peace,F.W. de Klerk,3/18/1936,Johannesburg
1952,Physics,Felix Bloch,10/23/1905,Zurich
1964,Physiology or Medicine,Feodor Lynen,4/6/1911,Munich
1909,Physics,Ferdinand Braun,1850-06-06,Fulda
1927,Peace,Ferdinand Buisson,1841-12-20,Paris
1998,Physiology or Medicine,Ferid Murad,9/14/1936,"Whiting, IN"
2004,Economic Sciences,Finn E. Kydland,12/1/1943,Gjesdal
2018,Chemistry,Frances H. Arnold,7/25/1956,"Pittsburgh, PA"
1962,Physiology or Medicine,Francis Crick,6/8/1916,Northampton
1922,Chemistry,Francis W. Aston,1877-09-01,Harborne
1985,Economic Sciences,Franco Modigliani,6/18/1918,Rome
2013,Physics,François Englert,11/6/1932,Etterbeek
1965,Physiology or Medicine,François Jacob,6/17/1920,Nancy
1952,Literature,François Mauriac,1885-10-11,Bordeaux
2008,Physiology or Medicine,Françoise Barré-Sinoussi,7/30/1947,Paris
1929,Peace,Frank B. Kellogg,1856-12-22,"Potsdam, NY"
2004,Physics,Frank Wilczek,5/15/1951,"New York, NY"
1939,Literature,Frans Eemil Sillanpää,1888-09-16,Hämeenkyrö
1935,Chemistry,Frédéric Joliot,3/19/1900,Paris
1904,Literature,Frédéric Mistral,1830-09-08,Maillane
1901,Peace,Frédéric Passy,1822-05-20,Paris
1954,Physiology or Medicine,Frederick C. Robbins,8/25/1916,"Auburn, AL"
1923,Physiology or Medicine,Frederick G. Banting,1891-11-14,Alliston
1995,Physics,Frederick Reines,3/16/1918,"Paterson, NJ"
1958,Chemistry,Frederick Sanger,8/13/1918,Rendcombe
1921,Chemistry,Frederick Soddy,1877-09-02,Eastbourne
1908,Peace,Fredrik Bajer,1837-04-21,Næstved
1922,Peace,Fridtjof Nansen,1861-10-10,Kristiania
1931,Chemistry,Friedrich Bergius,1884-10-11,"Goldschmieden, near Breslau"
1974,Economic Sciences,Friedrich von Hayek,1899-05-08,Vienna
1947,Peace,Friends Service Council,,
1953,Physics,Frits Zernike,1888-07-16,Amsterdam
1918,Chemistry,Fritz Haber,1868-12-09,Breslau
1953,Physiology or Medicine,Fritz Lipmann,1899-06-12,Koenigsberg
1923,Chemistry,Fritz Pregl,1869-09-03,Laibach
1982,Literature,Gabriel García Márquez,3/6/1927,Aracataca
1908,Physics,Gabriel Lippmann,1845-08-16,Hollerich
1945,Literature,Gabriela Mistral,1889-04-07,Vicuña
2000,Literature,Gao Xingjian,1/4/1940,Ganzhou
1992,Economic Sciences,Gary Becker,12/2/1930,"Pottsville, PA"
1973,Chemistry,Geoffrey Wilkinson,7/14/1921,Todmorden
1961,Physiology or Medicine,Georg von Békésy,1899-06-03,Budapest
1979,Chemistry,Georg Wittig,1897-06-16,Berlin
2001,Economic Sciences,George A. Akerlof,6/17/1940,"New Haven, CT"
1994,Chemistry,George A. Olah,5/22/1927,Budapest
1958,Physiology or Medicine,George Beadle,10/22/1903,"Wahoo, NE"
1925,Literature,George Bernard Shaw,1856-07-26,Dublin
1953,Peace,George C. Marshall,1880-12-31,"Uniontown, PA"
1980,Physiology or Medicine,George D. Snell,12/19/1903,"Bradford, MA"
1943,Chemistry,George de Hevesy,1885-08-01,Budapest
1974,Physiology or Medicine,George E. Palade,11/19/1912,Lasi
2009,Physics,George E. Smith,5/10/1930,"White Plains, NY"
2006,Physics,George F. Smoot,2/20/1945,"Yukon, FL"
1988,Physiology or Medicine,George H. Hitchings,4/18/1905,"Hoquiam, WA"
1934,Physiology or Medicine,George H. Whipple,1878-08-28,"Ashland, NH"
1982,Economic Sciences,George J. Stigler,1/17/1911,"Renton, WA"
2018,Chemistry,George P. Smith,3/10/1941,"Norwalk, CT"
